,content
2737,"I will appreciate your input for this reading.I am in a situation where the desicion of the goverment about my citizenship, will imply either that I remain here in this EU country for the rest of my life or maybe leave. This desicion from the goverment might be influenced  by assets I own in another country. I asked  Yi Jing on the effect of these assets on the goverment desición and I got 15.5>39. What is it your interpretation ?  Your help will be very much appreciated.All the best,Aquaviva  "
2738,"Hello,I don't want to be pushy but I could Really use the help here.  I just don't know if I want to take more chances on, frankly when it boils down to it, not nice people and pretend as if I'm absolutely fine.. but then maybe it would be better to face the experience, not everyone is out to get me I know.  Maybe I'm making too much of it, but I have a bad feeling.. it was meant to be small, but it seems to be turning into something big and I can't help feeling I'm being mocked and that I am at risk here.Should I leave before the party?22.1,4 > 56Seems to say yes : 'He leaves his carriage and walks for it accords with duty not to ride'22.4 > Return to simplicity56 > ... he must remain upright and steadfast so tha he sojourns only in the proper places associating only with good people...then he can go on his way unmolested'Is this my opportunity to (finally) stand up for myself>19 ApproachOne of them in particular is still making it clear that I'm not her friend, though the others are fine it's a group mentality, so I know that it is she with the problem here, it's not in my head.  She just won't meet me halfway (asking about her, I got 49 unchanging and 60 unchanging).  No getting through.  And I have tried.I asked too if I should be resolute and say I'm not going : 1.1 > 44.1Perhaps saying I don't know the full scope of the situation.  I need to see how the mood changes before taking decisive action..'Trying to make progress now would be like trying to cook noodles in cold water.  Wait until the water boils'... Perhaps the situation which seems seeped in negativity is hiding potential positivity as it has before... if only there weren't idiots to contend with, but I suppose that's inevitable.:bows:Last edited: Mar 28, 2009"
2739,"Hello all,Right I am moving out v soon from a house where I have had some probs with my housemates.  It has been (rather severely) up and down, as in sometimes I'm happy and feel part of the group here and wonder how I'd ever felt so hated and been so paranoid, whereas at others I feel that same thing again.. there's just a barrier though ok on the surface.. I do get on quite well with one of them, but the others.. you can't win 'em all I suppose... and it is my mistake for having moved in well aware of these doubts about compatibility...Anyway, they have secured somewhere else and are leaving before me... I thought they might wait a few days before I'd gone as I am staying on another week but it's fine, whatever they want to do.. I have been more confident and fun recently, and enjoyed being with them but it doesn't seem to matter.. I am still resisted it seems.. I guess perceptions are hard to change... Anyway  I asked how do I dictate my last week here?43.3,5 > 54So Helpful!!  43.3>  Be independent despite being left alone (they're only moving a few doors away) : 'He is isolated and upset like one walking alone and encountering the rain but he is firm and strong' IE I will not let it make me feel rejected.  I will behave as if no problem.. it does speak of not being able to cut ties just yet...43.5 >  Don't give up stay resolute - you will soon be able to 'cut ties with those that sabotage'54 > I am in a vulnerable position but still shouldn't do anything that would compromise my dignity, ie chase after them, or allow people who don't care enough about me in the first place, to hurt me..Funnily enough - today I got 38.1 > 64 (they're moving stuf so tad awkward)'Regrets vanish.  If you lose your horse do not run after it.  It will come back of its own accord.  When you see hateful people, guard yourself against mistakes'64 > I think saying let it go - it's not going to come to a perfect closure.. Funny thing is we're planning to have a leaving party... supposedly for me...  I have other friends here etc and it would be good to say bye and have some sort of celebration since I've been here a long time and have had good times (even with my housemates - just living together was a mistake...)I asked should I leave earlier and bow out of this party? 12.2 > 6It could be fun and good but whether it's right all things considered... maybe I should just depart and retain my dignity - acknowledge the lack of friendship.. but that might be worse when it comes to it..12.2 initially I thought meant bring my idea to a standstill, because it could just be running away, but then maybe I should not 'mingle with the crowd of the inerior'... but then maybe I should just ride it out : 'by his willingness to suffer personally he insures the success of his fundamental principles'.. hmm, but maybe that's saying I should leave to protect myself from, a 'fake sentiment' party.. but maybe I shouldn't take it so seriously and just go with it.. last hurdle..It would be good to say bye and other friends will hopefully come along.. I like them as people it just hasn't worked out and they're making no efforts to hide that... by treating me indifferently and moving out.. but then maybe I should just fight for my right to party? (despite underlying awkwardness... more a celebration of me leaving really - a release for us all..) How would you take 12.2 > 6?Thanks anyone that has some advice :bows:Last edited: Mar 27, 2009"
2740,"Hello everyone,this is my first post and i am very excited i hope i am doing this right.Actually i didnt wanna post my question here cuz i like to getting to understand my questions myself, i like trying to figure them out and trying to be objective. The thing is it is about a guy and i know i shouldnt be with him cuz it is just not right ad he is not a right guy for me, but you know how it feels... Something deep inside always asks ""wha if we were together?""... anyways i have seen this guy for several times, at first he was very nice to me and he told my friend that he liked me and i am very sweet and all but he wouldnt think of a relationship (because he works in a different country and he will leave in a month or two) so he is not thinking anything serious.I have been sleeping with this guy for three weeks and it was all nice and i didnt have a problem with it, and it wasnt just sex, we were hanging out and talking about things that are important for us and he loved to cuddle and sleep, so i thought it wasnt just sex, maybe he has a little feelingy thing too. but three weeks ago we just stopped talking, we havent talked at all, not even a text message. So i asked and i dont even know why i asked this question cuz i really dont see my self dating him or being his gf but okay i asked if we are gonna be together as in having a real relationship and the answer is 46.1 going to 11...The weird thing is that this seems kinda positive to me, i have always considered 11 as a positive answer... i always feel that hexagram 11 supports me on the thought, but i am not very sure about 46.1 so any ideas are welcome And ıone more i asked if he will all me in two weeks and i got 42.6 changing to 3 and what i got from this is that there will be a good time where it will be positive and he might actually call me, but it will a short period of time and i should use it wisely, probably cuz he will leave or i dunno i am so afraid of admitting myself maybe i like him? and 3 is that this period is difficult and it is not giving me any space to breathe but if i can get through this there will be good at the end, good meaning we wont talk at all or good meaning he will call me and we will talk... i really dunno... but i hope the best is ahead of me and preparing itself "
2741,"Hello everyone,as it is seen on the topic this ones about job, actually a partnership that my mom wants to start. There is this guy from the company that she works and he wants to start a bussiness with my mom, he has graduated from best colleges and all but somehow i dont trust him, he is the type of person that would get bored of everything easily and that is very impatient.So i asked if this partnership would be any good for my mom and got hex. 9 unchanging.I read what Hilary wrote and it said ""a time where the power is gathering but its not yet time to act"" and in Richard Rutt the translation says ""having no backing"" they really dont seem to have any backing right now. Hilary also wrote that in time there will be rain, but it is hard to believe for me since i dont really trust this guy.Would you help me please, as you always do D."
2742,"Hello everybody!!!Thank you very much for putting up with the last week, you all were very nice to me.Now i have another question, i actually found this one on the site, i would never make up this question by myself. I like reading through the threads about the lines i like and in one of these someone asked this question and i really liked it so i decided to ask it myself. And the answer made me laugh... really The question is: How do i appear to men generally?The answer is 3 with lines 1 and 5 going to 2...Does this mean that they first see me as a cold bi**h and than as they get to know me, i am not that bad.Difficulty at the beginning is a very funny and true answer indeed  i appear very cold and distant at first but once you start talking to me, i am not that bad Any ideas?Much Love...D."
2743,Hey guys!I asked about a special someones feelings towards me who has just returned into my life following a disappearance act after trying to woo me. Tis the horse that ran off towards the full moon I wrote about earlier. In my previous post I asked if he was the one and received 11 changing to 55.Now the I Ching answered with 32.1.2 to 55Any thoughts?
2744,"Hello,I asked 2 questions and got 2 unchanging hex for each…First question was: what can i expect from C? Answer: 8And second question: what do I need to know about C? Answer: 35.Bluntly I would think this means that I can expect union and a blossoming future with C however I am not sure it is as simple as this…That is why I kindly ask for your experienced opinions for which I gratefully thanks in advance.Rony"
2745,"First of all I would like to say to everyone! I've been observing this website for a few months now. I do my own readings and pop on here for more of an insight to what I may have missed in my own interpretation. I'm really nothing but an amateur compared to you all!  What I was hoping for is to have some help with a reading please. I have been seeing this guy off and on for the last year no commitments which I would wish to have with him but have never told him this, but he does know I like him alot. We have slept together a couple times and he has met my kids, and we have hung out a few times. Everybody likes him. I just don't know where I stand. Should I forget about him or wait?  My question is 1) What are we meant to be to each other? I recieved 25.52) What does he feel for me now? I received 20.2.5If someone could please clarify this I would appreciate it so much! Thanks in Advance!"
2746,"thanks for the previous helps here about the decision to break up and how to read it. the helps encourages me to follow my guts.I have been going through breaking up with the partner. I will move out asap to the other place. Even I am visiting him and don't have my own place here. Of course a lot of emotions, but I still feel good that I did it and spoke out some feelings, even maybe some are exaggerated and some still unable to articulate.Even though I try to be calm and not hurtful to each other, but I know it is unavoidable. Since some issues cannot be changed immediately, I feel what I can do just terminate it. Even the past was still beautiful.the trust already dies out in me because of ignorance in the long-distance and open relationship. and also he is in the situation of his  empty (because he doesn't really know what to pursue or how and what he wants to do for his career) and changing period in his career and jobs. This part seems to show me how he deal with the responsibility and life priorities.I asked iching:  what is the lesson here in breaking-up this relationship? 28.1.2.3.6>2528.1 to be caution to initiate and jump into the relationship 28.2 (don't know how to read this line) does it indicate the period when I got together with this person?28.3 the moment the structure of the relationship collapses 28.6 there are something more important than this relationship's life?25 innocenceIs it read as a context for the changing lines or as a result?If it is read as a context, does it mean that I jump into this relationship was naive and too impulsive without full consideration, so this relationship could help me think what do I want from a relationship and how it can work.But are there more specific points about the lesson?   because there are 4 moving lines, I don't really know how to read them. please help,thank you,:bows:"
2747,"Hi all,I got 1.3 twice in the last couple of days, when asking about a person, which I think speaks for itself - I probably excessively think of him and relate certain new understandings in relationships, and life - to him.  I guess I'm still trying to unerstand the nature of the relationship and how, and why he influenced me so much.  Though not apparent now.I am at peace with the reality of the situation, and I know relationships shouldn't be probed too much with the Yi - because what will be will be - if it's right it just is and I am aware of that   But with the detachment I now feel, I'd be really grateful for some help with these readings.Is there now a void between us?57.1,2,3,5,6 > 24Excessively trying to influence has led to a return to the self, or would you read that as the relationship will?Is he going to get in touch?49.1 > 31.1I don't mind either way now and the more time goes on the more I start to think he was just a learning curve   But I feel grateful for having met him as it led to discovering good new things etc.. but how should this be read.  Thoughts of action not executed?  Or perhaps indicating I am gearing towards a change in perception - perhaps towards the decrease of his presence in my thoughts?Ahh.. perhaps a desire to rid an obligation?How important is my existence to him?52.1,2,4 > 14Hmm... seems good but perhaps this is all a matter of timing etc.  Thanks for reading any impressions would be good because my head still lacks clearage.:bows:"
2748,"Dear all, could you help me these readings about the relationship?with respect, what can I expect to keep working on this long-distance and open relationship?29.3>4829.3 means that it is not good to be indecisive with hesitations back and forth. It is better to step back and wait or sort of pause the development of this relationship.If I keep working on this relationship, the result is 48. But I don't understand what does it mean?with respect, what can I expect that to terminate this relationship gradually? 32.4>4632.4 ""no game in the field"" means right now in the relationship, it seems very empty and hollow. It seems not point to keep playing this game.  46 means stand up for myself and a good sign to terminate this relationship. with respect, what can I expect that to stay in this relationship?28.3>47 28.3 it seems that the foundation of this relationship already ""sags to the breaking point."" The conditions of this relationship (long-distance, asked to become an open relationship, and other communication or environment and people) already start to break down and rotten. 47. to keep relationship will lead to exhaustion.How to read that I got 46 and 47 in these related questions?In my understanding, Iching is saying to break up rather than keep working on the relationship right? I am new and thanks for any :bows:helpsally"
2749,"Hello, I need your help again.I asked: Can I hope to have a serious sentimental relationship with X?Answer: 23.3.6 > 15I've been reading the related threads, but I need an objective insight, because I tend to look for the positive side of the answer, something that could give me hope. So, please, I need your objective perspective about this answer.Thanks.SimonaLast edited: Mar 23, 2009"
2750,"dear all,I asked the same question twice: ""What can I do to keep the magic and spark alive in my partnership?"" and received the same hexagram, Development, twice:First 53.1 to 37 (The Family)Then 53.4,6 to 31 (Influence)I have to admit both readings made me smile, because they seemed to suggest a combination of stability, familial warmth and attraction between us, and that's an ideal package if ever I've seen one. But now that we've gotten through a big storm and are in a lovely phase again, I don't want us to get into a rut, and I can feel the force of habit and routine coming on. Just want to make sure I do my part to keep the relationship alive and exciting and not take this love for granted. From that point of view, what is the YI saying? All of your help is, as always, appreciated!"
2751,"I have been casting the Yi about my current work, but there are many things coming and I don't know if Yi's answers are directed to my job or to all that bounch of things.  Me and My daughter are working at the same place. We are teachers in a private school. My daughter is getting married to a wonderful boy from another country in 3 months, but they are planing to stay in my country to see how things go; if things don't go as expected then they will go to my daughter's fiance's country in Europe (maybe I'll be moving there too. On the other hand we both have plans with a thirth party to start a new school on our own In my country. Anyways we want to keep our current job the same while we get all ready for our new plans. For the next year I have very nice plans for my students (I have 9 groups under my charge). I was told that in this school they let you know before summer vacations if you will continue working with them or not. So, I started asking Yi  ""What will happen with our work in this school? I received 42 no changing, but I wanted to know more and asked the same question. I received 56.3.6 Then I asked for more and got 27.2.4 >38 so, It became dull to me. I am perseverant  so I asked again and received 56 no changing. As I thought Yi was not answering my question, this time just asked what will happen if I tell the principal my plans? and got 56 no changing... again?!! Could you please help me?Thanks a lotps I have been reading you all for 2 or 3 years and became a fan of many of you..I almost fell in love (in a respectfull manner) with Willowfox and the way he or she interprets the Yi. Is he or her ok?  I hope so."
2752,"Ok..My question was; ""Should I move to North Carolina in Sept for sexual Qigong training/ certification"". The I-ching gave me 50 moving lines on the 1st and 4th going into 26.Now the general situation is; I'm 18, broke, but I want to pursue this as a path. My current teacher said she'll respect my decision but doesn't agree with it, saying I can't understand the I Ching till I'm @ least 40, asking ""do you know how to count?"". So reality is if I do follow this path, I'll be living on my own etc. when I move.Sidenote; I did numerous readings generally around the same question; and they all said the same thing basically; just differently. Like someone's outside view though since I'm not very good with the I-Ching and this is a major decision."
2753,"Folks,We got some really disturbing news yesterday.  My husband's stepmother has decided she's going to sue him for all the gifts his father gave him while he was alive (he passed in November 08).We consulted with a lawyer who basically told us this was ""pathetic and ridiculous"" that you can't sue for gifts given, but also indicated that it might not stop her from trying to pursue the case.The reason for doing this was quite sinister - my husband's real mother (divorced from his father some time ago) has a claim on the estate that is legitimate and is going to court now.  We know this is a scare tactic to try and get her to back down, but she really can't afford to do that.  Nor do we think she should.However, I am 6.5 months pregnant and my husband is quite ill and we really don't need this in our lives right now.  I consulted the iChing and have received 39 unchanging, which appears to mean - you're blocked, chill out and wait.  I am interpreting that as, no amount of trying to get the stepmother to stop this will work, we just need to wait and see if she files and then hire a really great lawyer to stop this in its tracks.Thoughts?MM"
2754,"This is my first time sharing in this type of community, though I have done I Ching readings over the years. I am interested in your feedback and how community input may help me benefit and use the I ching.I asked what the future would bring regarding my relationship with my former partner. He left a 4 year long relationship to ""have a relationship with himself."" This aburpt heartbreaking ending occurred about 1 1/2 years ago. He has said he chose to leave as he did not have enough to offer me,  that he was being destructive to the relationship and that things would get worse if he stayed. He said he needed to work on being in relationship with himself, rather than trying to please others. There were obstacles to our relationship, but it a very powerful loving connection. We were excellent companions and lovers, and shared many interests. We both believed we had found our life partner. Some of our difficulties around his lack of career and money, and some core heart level work that we both needed to do. He is not seeking another relationship but living a very solitary existence. We tried a friendship over the summer/fall last year, about 6 months following the separation, but it was not satisfying without a clear partnership and emotional intimacy. I am moving on with my life, but I still feel a very strong connection with this man and hope for him to to turn things around. We accidently ran into each other on what would have been our fifth anniversary in January. With the help of the i ching I have learned to withdraw from making any overtures, and am trusting more in the things I can not control. My heart is still open to this man, and I am also prepared to move on. I asked the I ching:What will the future bring with J. and I...I received the following response40.1.4.5.6 >61I welcome and appreciate your insights. Thank you"
2755,"Hello - Briefly -- I left a job and did my best to leave my employer on the best of terms, however, we argued. I've been upset for awhile because we were close, yet he revealed himself to be pretty untrustworthy. This has left me feeling a little torn- I'm obviously better off without this whole situation in my life, and on the other hand, I feel a loss, and a little angry at myself for being so judgemental. I asked the i ching how to let go and see this positively, and got 15 - 56Can anyone offer any perspective? ThanksLast edited: Mar 21, 2009"
2756,"I am considering appealing a mark for a project which has a chance of upgrade. What does the I Ching say regarding this? I am not sure 33 means literally retreat, that means 'no', or does it support the notion?thank you for any help."
2757,"we are again having troubles in our marriage and it is more of me not happy with the way the things are. Basically I am the one who is the unhappier one i.e i just feel he has not changed and he will always be the same way( though he has changed a few things and that is more related to his taunting me on a few matters, that has stopped and also helping out more at home) but i do not think he cares, today i was not feeling well and i called him back from the gym and not once he came and asked how i was feeling and it got me thinking that he never does that !! i will be lying in the room sick and not once he will ask me how i was feeling, if i need anything or even come to look at me.  if i ask him to do something ofcourse he does that but never on his own initiative.i asked him and he got angry and said that i am always ill and i am jealous of him going to the gym and called him back. btw he is also laid off.i asked yi to tell me what to do about him stay with him or leave him ..i got 18.4.5 changing to 44look forward to your insights!!"
2758,"I recently met somone and we hit it off immediately.  I ask the iching what to expect if I pursue her.  I get hex 31, line 5 moving giving hex 62 as relating hex.I know 31 is good, but can someone explain hex 62?I really like her and it seems she feels the same with me.  I'm just kinda intimidated since she's 17 years my junior and holds a high position in a big company."
2759,"Good evening I hope so much that you can help me .. I'm writing from italy.. I have a question about a cat that I have to give up for adoption. The request was made so ""if we give up for adoption the kitten to the people in that city, which will be the result?"" . In response, there were : 62 (the small advances), which then turned to the changing lines in 55 (abundance). My daughter, for her initiative, had consulted the oracle before, with this formulation of the question: ""will have a good outcome if we will give up for adoption the kitten to the people in that city ?"". The answer was the esagramma 49-change revolution At this point we have a serious difficulty to interpret the answers. Thanks for any help"
2760,"My husband suffered what appears to have been a mild heart attack on Sunday.  He's doing fine now but I have been very worried about him...as expected.I asked a few questions and got the following answers:What do I need to know about his health?  53I understood this to mean that everything will go well.  It will, however, be a long process and not something that will happen overnight.  It will involve lifestyle changes that until now he has been unwilling to make.It also is about doing everything correctly and following ""the rules"".  I'm going to interpret this as meaning that he will need to follow a certain diet etc.What is his prognosis? 20.3.5 to 52A prognosis is a look toward the future.  I understood this answer to mean that there will be a lot of soul searching going on.  This is going to be a life changing experience for him.I also think there's a message here similar to that above.  He is going to have to follow ""the rules"" making real lifestyle changes.Other ideas would be much appreciated."
2761,"Dear Clarity friendsIn the last couple of weeks there has been an issue that has been puzzling me concerning an erroneous attitude or pattern of behavior on my part. I have the feeling that something is wrong but can't quite put my finger on it. So I went ahead and asked the Yi what I should do about it (it was rather a self-development question, not relating to any specific individual, more of a general nature).I got 40 unchanging.So far I've come up with three possible interpretations.(1)Past difficulties are giving way and release is at hand. If this interpretation is correct, rather than wait for release to come and find me, I think it is best to think of the answer in terms of ""it is timely to work to actually bring about release re. the issue.      In this case, I have to:(a) Make a complete break with the past, not dwell on it. (b) If there are no residual matters, return back to ordinary conditions asap.(c) If there are things that still need to get done, then take vigorous action to deal with them as quickly as possibly.(2)However, a second possible interpretation could be that I just need to relax about it, lighten up, loosen up, let it go. Meaning there's nothing (particularly) wrong with my attitude/behaviour so I should stop trying to analyze the whole thing.(3)A third possible interpretation could be that there is a real issue, yes, but if I just stop struggling with it, release it from my concerns, then things will just come together of their own accord (suddenly?). My gut feeling? All three interpretations could fit the answer and the issue at hand. Why not? But then again, might I be reading too much in this hexagram that isn't actually there?I'd welcome any suggestions from people who are more experienced than I am or who are just willing to have a go at it. [And is it possible that all three different interpretations could apply at the same time? Not likely I think but then, why not?]el_2"
2762,"Hello all,I have not on this forum for a while now but to give you a background, I am 39 now, have a family with two lovely children, i have a deep seated level of insecurity when it comes to finances, we have been living in a two bedroom house for almost ten years now, and we are running out of space, and my job is going through a restructure and i'm not sure where we stand with this, however  with the rates as low as they are, I felt now is the best time to buy a new house, so I asked the yi the following question:What could we expect if we (harv and I) bought a 3 bedroom now considering the unpredictable environment?and received 51. Chên / The Arousing (Shock, Thunder) changing at 6  -  21. Shih Ho / Biting Through.I was wondering if anyone could give me a little direction pls?Thanks in advance"
2763,"There was a family gathering recently as it was my gran's funeral.I was feeling down, but not so much at my gran's death because she was ready to go and the funeral itself was good - more of a celebration of her life etc - and all the family came.  I was not feeling confident in myself for some reason (probs hormonal)  And asked the Yi for how to deal with the occasion etc:Advice for the funeral?Hex 10 - made perfect sense for a funeral - treading respectfully and discreetly.Then, as I wanted to make a good impression on family members I han't seen since childhood - distant cousins etc -I asked How can I be more articulate and have presence?36. 1, 5, 6 > 53I think this may be saying darken my light by laying low while feeling down, hiding and allowing my confidence and sense of self gradually develop? (hmm... self assurance and acceptance I suppose is a long time coming for most)As it transpired, though the after party was nice - had some good chats etc - but inside I was feeling awkward, shy and unable to connect with members of my family without feeling I was lacking in some way - as a result, maybe it came across that I was trying too hard... or being reserved, and I did get the feeling people were well meaning but found me unaproachable.I asked what I did wrong?59.6Well very relevant - dissolving his blood - Perhaps my self consciousness alienated my family group Finally, what mindset do I need to adopt to change this problem?28.2, 3, 6 > 12I think this speaks of my putting to much pressure on myself to impress and perform...Any commentary on the above would be much appreciated!:bows:"
2764,What are the chances I will see this person again.what is anybodys take on this oneIs it yes things are abundant and will be good next time we meet or is it has reached its peak and its all down hill from hereunchanging hex''s can be hard to read for me.Steve:bows:
2765,"The Wilhelm translation and the imagery therein really inspired me yesterday.And encouraged me to realise the importance of the use of symbolism in the Yi - which before I hadn't really given as much value to as the words - but they can be a real help!I have started a work placement and had a brief chat with a man there who is attractive, but of course I have learnt and am not madly in love with him already But I asked the Yi about him, and received 29.5,6 > 4Which I immediately read as don't get carried away and take your (heart) into a danger zone ie unfounded romantic fantasies (Not that I was - don't feel a great connection) and just follow the line of least resistance (29.5) and of course to learn from the mistakes of past hastiness However, it then struck me that the Yi could also be reflecting something he told me - about visiting Canterbury and being told about the 'ducking' of women during witch hunts - they were put in a vessel of water - and if they drowned (well they drowned..) but if they survived they were deemed a witch and burnt alive   Doesn't bear imagining gosh the things humans have done So, I realsied the Yi could have been illustrating that he tought me (hex 4) the abysmal story of women being placed in a vessel 29.6 'filled to the brim' and 29.6 'bound with chords and ropes' !!Not nice eh.  But amazing - it does seem like the Yi was recounting the story don't you think!?:bows:"
2766,"ok i feel horrible, i keep saying i wont think about him and wont ask anything but at a moment of losing my mind i started yelling what do you want from me??? and at that moment i realized why dont i ask this question to i ching? Hmmm and i did, cuz appearantly i have no self control... and the answer was 45.1.4.5 goint to 24It is all good up until this point but i havent been talking to the guy for a month and there is just nothing, absolute nothing between us right now and the answers that i ching giving me are confusing me so much, if it said something like 41 ( i always thought 41 is the most dreadful hexagram by the way) maybe i could let go... Any guesses? what does he want from me?... cuz at this point i just cant think...D."
2767,"And so I have been reading the threads talking abt Saturn return year and Hex 28. I turn 29 this year.Previously having met P, and coming out of my singlehood, wanting to take a chance at dating and hoping to meet the right one, and seeing i liked what I felt, I asked if P was the one and got Hex 53(1,5,6) -->36. Then there was talk abt how if changing lines pertaining to a relationship Q were far apart, that was indicative of how far apart the couple in question were; another sign of differences. In conclusion, the verdict was 'does not bode well'.Months later after going thru all the ups and downs of emotions, I told Yi that I sincerely didnt think P was the one, and asked what she thought. She said 19(2)-->24Gave me a sneaking feeling someone else might be on the horizon and that was what was suggested in Shared readings as well.The very next day this other guy M whom I met at the same time as P saw me online and started chatting with me. I was travelling and happened to be in the same state as M. At the end of chat, he said that I shud hv told him I was there, and that he wud hv taken me out. I have been out of chat for 3 months, and had a feeling M thought he wud never see me again. Now chat has progressed, and I didnt do anything to ensure we'll be in touch. But M has gone on to ask for my number, and says he'll call me on Sat. He's also been hinting strongly that he wants to pay the state I live a visit.I know that the time frames are not meant literally, but Hex 24 says ""Your Friend comes...Return comes on the seventh day.."" and Sat is the 7th day from when I asked Yi.Ok not to get my hopes up, I asked Yi if M was the one. Cos that question seems to work for me. If it doesnt bode well, then I dont have to go thru months of not knowing Sorry for the long intro but here's my question. I asked Yi if M was the one.I got 28(2,6)-->33.Is this just another passing situation as well? uch: Sigh."
2768,"I asked what the future held for me and a guy who I am interested in.  I feel like we have a great connection, almost magnetic.  We also happen to share the same birthday, which I don't know if that contributes to the attraction.  The answer I got was Hexagram 53 with a changing line in the fifth place.  I thought it pointed to something positive, but I'm new to IChing and wanted to hear other people's interpretations.  Thanks!"
2769,"Hello,This is my last question about this relationship and everything that has to do with it so dont worry i wont be bothering you... ok so i asked if i should call him, since this is going nowhere...The answer was 63.2.3.6 going to 61I think the lines 3 is saying that he is not worth it? and the 6th line is mostly something like woow easy tiger... I am thinking that i shouldnt call him. Actually besides asking i-ching, i really dont wanna call him... Why do we have emotions? life would be easier without them... i think... i am not sure...D."
2770,"good morning all I wanted to share an interesting reading...I got a vedic astrology reading done and was astonished when I saw that my 27th year was marked out as one of my absolute worst. This really caught my attention because I am 27 and it has been my worst year ever with a lot of very traumatic ordeals! Luckily I am turning 28 next month and being curious I asked the I ching a few questionsI first asked if I will find immediate relief on my 28 th birthday and got 16.2 changing to 40I have never got this line before and after researching the forums I see it has a lot of conflicting interpretations so I'm not sure what that line means here . However, based on hex 40 I think this reading is suggesting yes I willmy vedic reading said nothing specific about my 28th year so I asked the I ching, what can I expect in my 28th year? I got 51.2.5 changing to 58this seems very conflicting to me, line 2 saying I will lose something and line 5 saying nothing is lost? I know there is some speculation about using the I ching to ""predict"" things but I think it's really trying to tell me something with this...maybe i will experience a shock that will lead to joy?If anyone has any thoughts on this, especially on line 2 of hex 16, I would love to hear them!"
2771,shock brings one success     good fortune  what exactlt does this mean please?
2772,"Hi,I met a aura / crystal master recently and he advised me to purchased this crystal, as it does cost abit hence i am asking iching for advice:""can i trust the master who read my aura today?""i got hex 6.3 leads to hex 44Can i trust this master?Thanks :bows:"
2773,"Hello, me again,I think it was yesterday, i asked a question about this guy and being together and i-ching gave me a very positive answer and i couldnt believe it so i thought i read it wrong or wrote the numbers and lines down all wrong. So i asked the question again and i got 22.3 going to 27this doesnt seem all that positive  to me and i think maybe i really made a mistake the last time  Any ideas?D."
2774,"So Ive been in contact with a former student (I was a grad student instructor) intermittently via email over the last year and a half. We met once, I left the country for the summer and upon returning she resumed contact after I thought it was over. But shes in a relationship. So I finally just ask her to meet me out after returning from 2 months meditation training and she tells me shed love to meet me but shes in couples counseling right now and she understands if Im put off. Id like to just meet her again in person at least once just to see things closer and leave it or go from there. There is a plan to meet up in a couple of days. So I asked the I Ching: What does X feel about me? 61 UnchangingCan X be trusted? 33.2 to 44What is your impression of this reading? Thanks for your help"
2775,"hello to you!i'm interested in 2 guys and i'm wondering about the possibility of a closer relationship with one of them (my idea is to find out if any of these guys could be my mate aiming to focus myself more on his person )so i ask (the same question ): shall i come to an intimate relationship with A.? (what 's the future about this?)         53.1-37shall i come to an intimate relationship with B.?(what's the future about this ?)35.1.2.5.6-58the first changing line of 53 is not a very ...loving one confused: ), it doesn't  promise a flourishing relationship i thinkthe 4 changing lines of 35 are confusing me but i figure 35 and 58 are good answers in relation matter    i need your interpretation !!!"
2776,"Hi folks,I'm supposed to be meeting a group. I asked what I stood to gain from this meeting and it was 11. The deal is that I'm standing in because they don't have anyone else yet. (they didn't realise I was a gal but my playing is good so I'm ""allowed"" to come along)   ..hrumphDoes it mean that this meeting will further my goals and we will all get along? Or is there another layer to this and greater things are afoot elsewhere for me?Many thanks for your consideration. I am stuck "
2777,"Hello everyone again,I have been reading the threads about 44, but none of them seems to be enough for me cause i still dont understand. What is 44 really talking about, what is it really trying to tell, when i get 44 i dont even bother reading the answer for my question cause i am clueless  so some MORE insight would be good, i feel dumb D."
